#数据格式：sysObjectId,sysDescrPattern,_OBJ_CATEGORY,_OBJ_TYPE,VENDOR,MODEL
.1.3.6.1.4.1.9.1.293,,SWITCH,Switch,Cisco,ciscoUBR912S,ciscoUBR
.1.3.6.1.4.1.9.1.294,,SWITCH,Switch,Cisco,ciscoUBR914,ciscoUBR
.1.3.6.1.4.1.9.1.295,,SWITCH,Switch,Cisco,cisco802J,cisco800
.1.3.6.1.4.1.9.1.296,,SWITCH,Switch,Cisco,cisco804J,cisco800
.1.3.6.1.4.1.9.1.297,,SWITCH,Switch,Cisco,cisco6160,ciscoDSLAM
.1.3.6.1.4.1.9.1.298,,SWITCH,Switch,Cisco,cat4908gL3,cat4908
.1.3.6.1.4.1.9.1.299,,SWITCH,Switch,Cisco,cisco6015,ciscoDSLAM
.1.3.6.1.4.1.9.1.300,,SWITCH,Switch,Cisco,cat4232L3
.1.3.6.1.4.1.9.1.301,,SWITCH,Switch,Cisco,catalyst6kMsfc2,ciscoCatalyst
.1.3.6.1.4.1.9.1.302,,SWITCH,Switch,Cisco,cisco7750Mrp200,ciscoICS
.1.3.6.1.4.1.9.1.303,,SWITCH,Switch,Cisco,cisco7750Ssp80,ciscoICS
.1.3.6.1.4.1.9.1.310,,SWITCH,Switch,Cisco,cat6509Sp,catalyst6500
.1.3.6.1.4.1.9.1.311,,SWITCH,Switch,Cisco,ciscoMGX8240,ciscoMGX
.1.3.6.1.4.1.9.1.312,,SWITCH,Switch,Cisco,cat4840gL3
.1.3.6.1.4.1.9.1.313,,SWITCH,Switch,Cisco,ciscoAS5350
.1.3.6.1.4.1.9.1.314,,SWITCH,Switch,Cisco,cisco7750,ciscoICS
.1.3.6.1.4.1.9.1.316,,SWITCH,Switch,Cisco,ciscoUBR925,ciscoUBR
.1.3.6.1.4.1.9.1.317,,SWITCH,Switch,Cisco,ciscoUBR10012,ciscoUBR
.1.3.6.1.4.1.9.1.318,,SWITCH,Switch,Cisco,catalyst4kGateway,ciscoCatalyst
.1.3.6.1.4.1.9.1.319,,SWITCH,Switch,Cisco,cisco2650
.1.3.6.1.4.1.9.1.320,,SWITCH,Switch,Cisco,cisco2651
.1.3.6.1.4.1.9.1.321,,SWITCH,Switch,Cisco,cisco826QuadV,cisco800
.1.3.6.1.4.1.9.1.322,,SWITCH,Switch,Cisco,cisco826,cisco800
.1.3.6.1.4.1.9.1.323,,SWITCH,Switch,Cisco,catalyst295012,catalyst2900
.1.3.6.1.4.1.9.1.324,,SWITCH,Switch,Cisco,catalyst295024,catalyst2900
.1.3.6.1.4.1.9.1.325,,SWITCH,Switch,Cisco,catalyst295024C,catalyst2900
.1.3.6.1.4.1.9.1.326,,SWITCH,Switch,Cisco,cisco1751,cisco1700
.1.3.6.1.4.1.9.1.329,,SWITCH,Switch,Cisco,cisco626,cisco600
